parameter,value,method,success_rate,infeasible_count,mean_D_total_ms,std_D_total_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms
compute_window_s,2.000000,Proposed,0.000000,5.000000,inf,nan,0.000000,inf,inf
compute_window_s,2.000000,Random Placement,0.000000,5.000000,inf,nan,0.000000,inf,inf
compute_window_s,2.000000,Importance-based Placement,0.200000,4.000000,9688.925002,0.000000,112.000000,163.457355,45.366736
compute_window_s,2.000000,No-similarity Placement,0.000000,5.000000,inf,nan,0.000000,inf,inf
compute_window_s,3.000000,Proposed,1.000000,0.000000,9888.788473,614.308711,114.600000,172.147373,40.101879
compute_window_s,3.000000,Random Placement,0.400000,3.000000,10175.188007,277.721676,111.000000,162.125359,59.124787
compute_window_s,3.000000,Importance-based Placement,0.600000,2.000000,10463.114988,559.226160,112.000000,183.428504,43.424798
compute_window_s,3.000000,No-similarity Placement,0.000000,5.000000,inf,nan,0.000000,inf,inf
compute_window_s,4.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,4.000000,Random Placement,0.600000,2.000000,11152.921976,1401.194840,99.666667,189.260698,55.258084
compute_window_s,4.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,105.500000,194.898819,45.031982
compute_window_s,4.000000,No-similarity Placement,0.000000,5.000000,inf,nan,0.000000,inf,inf
compute_window_s,5.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,5.000000,Random Placement,0.600000,2.000000,11152.921976,1401.194840,99.666667,189.260698,55.258084
compute_window_s,5.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,105.500000,194.898819,45.031982
compute_window_s,5.000000,No-similarity Placement,0.000000,5.000000,inf,nan,0.000000,inf,inf
compute_window_s,6.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,6.000000,Random Placement,0.800000,1.000000,12028.391768,1942.125718,96.250000,212.871761,52.559254
compute_window_s,6.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,105.500000,194.898819,45.031982
compute_window_s,6.000000,No-similarity Placement,0.800000,1.000000,18877.599573,628.341151,0.000000,388.644913,48.725375
compute_window_s,7.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,7.000000,Random Placement,0.800000,1.000000,12028.391768,1942.125718,96.250000,212.871761,52.559254
compute_window_s,7.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,105.500000,194.898819,45.031982
compute_window_s,7.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,0.000000,394.751473,47.958506
compute_window_s,8.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,8.000000,Random Placement,1.000000,0.000000,13014.932835,2628.789636,85.800000,233.755772,56.542252
compute_window_s,8.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,105.500000,194.898819,45.031982
compute_window_s,8.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,0.000000,394.751473,47.958506
compute_window_s,9.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,9.000000,Random Placement,1.000000,0.000000,13014.932835,2628.789636,85.800000,233.755772,56.542252
compute_window_s,9.000000,Importance-based Placement,1.000000,0.000000,12527.744554,3352.779262,89.600000,231.050772,47.143590
compute_window_s,9.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,0.000000,394.751473,47.958506
compute_window_s,10.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,114.800000,171.847233,40.154929
compute_window_s,10.000000,Random Placement,1.000000,0.000000,13014.932835,2628.789636,85.800000,233.755772,56.542252
compute_window_s,10.000000,Importance-based Placement,1.000000,0.000000,12527.744554,3352.779262,89.600000,231.050772,47.143590
compute_window_s,10.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,0.000000,394.751473,47.958506
